provinsi,bawang.daun,bawang.merah,bawang.putih,bayam,buncis,cabai.rawit,kacang.panjang
Aceh,14468,100703,100,41209,4958,653082,121890
Sumatera Utara,180520,648349,205,167975,468575,870122,263326
Sumatera Barat,530615,2073758,7907,67111,376237,266558,154328
Riau,287,1953,0,105856,335,74288,89617
Jambi,54717,160502,130,42965,55984,124289,81693
Sumatera Selatan,33559,11299,4670,37739,34521,94606,98872
Bengkulu,188055,10233,2854,6764,350177,214266,83757
Lampung,36304,17267,30,78439,42280,111934,135277
Kepulauan Bangka Belitung,2630,787,0,11906,4880,37098,28272
Kepulauan Riau,2483,414,0,29856,1261,17729,46856
DKI Jakarta,0,14,0,32784,0,1,0
Jawa Barat,1579677,1933183,4165,338038,921653,1490531,816614
Jawa Tengah,1255945,5565098,216202,113206,242701,2423032,237567
DI Yogyakarta,190,223066,0,21282,1934,151977,28889
Jawa Timur,1097231,4783933,8545,135074,282762,6467402,349416
Banten,3189,13724,0,73386,1101,39098,153835
Bali,7738,314924,6893,8079,77235,283182,47239
Nusa Tenggara Barat,22182,2011552,47614,7115,66919,500784,117003
Nusa Tenggara Timur,18554,75845,4827,54533,36065,198812,63421
Kalimantan Barat,7485,440,0,31715,11134,61926,73572
Kalimantan Tengah,13867,1118,0,14721,17372,54191,43644
Kalimantan Selatan,7650,2460,0,13074,21131,117636,43168
Kalimantan Timur,4785,1145,0,49297,55464,77779,94756
Kalimantan Utara,15516,73,0,21265,28969,58751,28735
Sulawesi Utara,743245,50196,0,4430,15229,190062,20150
Sulawesi Tengah,60663,34540,1160,14161,11214,253887,27125
Sulawesi Selatan,475005,1751599,14,53976,54115,237614,104368
Sulawesi Tenggara,4062,4493,0,26812,2359,39145,38211
Gorontalo,149,4176,0,503,510,148055,4321
Sulawesi Barat,2037,7481,480,11746,187,34959,23911
Maluku,3982,7593,0,18379,14874,38465,31722
Maluku Utara,8651,8047,0,9369,4392,28729,38997
Papua Barat,2690,776,27,42170,30013,41065,76273
Papua,9212,2860,0,23276,19478,43355,41891
